Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2014-03-09,2014-03-15,SUL,GASOLINA COMUM,615,2.97,2.73,3.35,2014,2014
2014-03-09,2014-03-15,SUL,GASOLINA COMUM,385,3.0,2.74,3.29,2014,2014
2014-03-09,2014-03-15,SUL,GLP,669,41.06,29.99,55.0,2014,2014
2014-03-09,2014-03-15,SUL,GLP,715,42.17,32.0,50.0,2014,2014
2014-03-09,2014-03-15,SUL,GLP,243,42.87,35.0,50.0,2014,2014
2014-03-09,2014-03-15,SUL,GNV,6,1.97,1.95,2.19,2014,2014
2014-03-09,2014-03-15,SUL,GNV,27,2.2,2.08,2.4,2014,2014
2014-03-09,2014-03-15,SUL,GNV,37,2.21,2.0,2.62,2014,2014
2014-03-16,2014-03-22,SUL,ETANOL HIDRATADO,567,2.15,1.97,2.4,2014,2014
2014-03-16,2014-03-22,SUL,ETANOL HIDRATADO,500,2.52,2.2,2.99,2014,2014
2014-03-16,2014-03-22,SUL,ETANOL HIDRATADO,347,2.58,2.19,2.8,2014,2014
2014-03-16,2014-03-22,SUL,ÓLEO DIESEL,353,2.44,2.25,2.69,2014,2014
2014-03-16,2014-03-22,SUL,ÓLEO DIESEL,370,2.49,2.29,2.8,2014,2014
2014-03-16,2014-03-22,SUL,ÓLEO DIESEL,257,2.51,2.27,2.8,2014,2014
2014-03-16,2014-03-22,SUL,ÓLEO DIESEL S10,268,2.56,2.31,2.98,2014,2014
2014-03-16,2014-03-22,SUL,ÓLEO DIESEL S10,290,2.67,2.4,2.99,2014,2014
2014-03-16,2014-03-22,SUL,ÓLEO DIESEL S10,223,2.66,2.36,2.9,2014,2014
2014-03-16,2014-03-22,SUL,GASOLINA COMUM,565,2.99,2.8,3.3,2014,2014
2014-03-16,2014-03-22,SUL,GASOLINA COMUM,614,2.97,2.73,3.35,2014,2014
2014-03-16,2014-03-22,SUL,GASOLINA COMUM,385,2.99,2.7,3.29,2014,2014
2014-03-16,2014-03-22,SUL,GLP,669,41.05,31.0,55.0,2014,2014
2014-03-16,2014-03-22,SUL,GLP,715,42.18,32.0,50.0,2014,2014
2014-03-16,2014-03-22,SUL,GLP,241,42.95,35.0,50.0,2014,2014
