Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2010-01-31,2010-02-06,NORDESTE,GLP,87,34.02,30.0,38.0,2010,2010
2010-01-31,2010-02-06,NORDESTE,GLP,260,37.24,30.0,40.0,2010,2010
2010-01-31,2010-02-06,NORDESTE,GLP,65,37.42,35.0,40.0,2010,2010
2010-01-31,2010-02-06,NORDESTE,GLP,58,37.94,35.0,40.0,2010,2010
2010-01-31,2010-02-06,NORDESTE,GLP,34,35.13,34.0,37.0,2010,2010
2010-02-07,2010-02-13,NORDESTE,GLP,44,36.36,33.0,38.0,2010,2010
2010-02-07,2010-02-13,NORDESTE,GLP,332,35.45,24.0,40.0,2010,2010
2010-02-07,2010-02-13,NORDESTE,GLP,246,37.59,33.0,43.0,2010,2010
2010-02-07,2010-02-13,NORDESTE,GLP,107,39.2,34.0,44.0,2010,2010
2010-02-07,2010-02-13,NORDESTE,GLP,87,33.79,30.0,36.0,2010,2010
2010-02-07,2010-02-13,NORDESTE,GLP,261,37.18,30.0,40.0,2010,2010
2010-02-07,2010-02-13,NORDESTE,GLP,67,37.56,35.0,40.0,2010,2010
2010-02-07,2010-02-13,NORDESTE,GLP,58,37.94,35.0,40.0,2010,2010
2010-02-07,2010-02-13,NORDESTE,GLP,38,35.19,34.0,37.0,2010,2010
2010-02-14,2010-02-20,NORDESTE,GLP,39,36.39,35.0,38.0,2010,2010
2010-02-14,2010-02-20,NORDESTE,GLP,324,35.38,24.0,40.0,2010,2010
2010-02-14,2010-02-20,NORDESTE,GLP,239,37.58,33.0,42.0,2010,2010
2010-02-14,2010-02-20,NORDESTE,GLP,103,39.29,34.0,44.0,2010,2010
2010-02-14,2010-02-20,NORDESTE,GLP,107,33.8,30.0,38.0,2010,2010
2010-02-14,2010-02-20,NORDESTE,GLP,267,37.33,30.0,40.0,2010,2010
2010-02-14,2010-02-20,NORDESTE,GLP,67,37.66,37.0,40.0,2010,2010
2010-02-14,2010-02-20,NORDESTE,GLP,56,37.94,35.0,40.0,2010,2010
2010-02-14,2010-02-20,NORDESTE,GLP,34,35.26,32.0,37.0,2010,2010
2010-02-21,2010-02-27,NORDESTE,GLP,27,36.25,35.0,38.0,2010,2010
2010-02-21,2010-02-27,NORDESTE,GLP,312,35.52,24.0,40.0,2010,2010
2010-02-21,2010-02-27,NORDESTE,GLP,238,37.33,30.0,40.0,2010,2010
2010-02-21,2010-02-27,NORDESTE,GLP,109,39.31,35.0,44.0,2010,2010
2010-02-21,2010-02-27,NORDESTE,GLP,104,34.13,30.0,38.0,2010,2010
2010-02-21,2010-02-27,NORDESTE,GLP,262,37.37,30.0,40.0,2010,2010
2010-02-21,2010-02-27,NORDESTE,GLP,62,37.74,37.0,40.0,2010,2010
2010-02-21,2010-02-27,NORDESTE,GLP,58,37.94,35.0,40.0,2010,2010
2010-02-21,2010-02-27,NORDESTE,GLP,34,34.91,32.0,37.0,2010,2010
2010-02-28,2010-03-06,NORDESTE,GLP,34,36.7,35.0,38.0,2010,2010
2010-02-28,2010-03-06,NORDESTE,GLP,300,35.6,24.5,40.0,2010,2010
2010-02-28,2010-03-06,NORDESTE,GLP,241,37.33,33.0,40.0,2010,2010
2010-02-28,2010-03-06,NORDESTE,GLP,100,39.26,35.0,44.0,2010,2010
2010-02-28,2010-03-06,NORDESTE,GLP,104,34.56,30.0,38.5,2010,2010
2010-02-28,2010-03-06,NORDESTE,GLP,259,37.23,30.0,40.0,2010,2010
2010-02-28,2010-03-06,NORDESTE,GLP,65,37.75,37.0,40.0,2010,2010
2010-02-28,2010-03-06,NORDESTE,GLP,58,37.94,35.0,40.0,2010,2010
2010-02-28,2010-03-06,NORDESTE,GLP,34,35.08,34.0,37.0,2010,2010
2010-03-07,2010-03-13,NORDESTE,GLP,34,36.27,35.0,38.0,2010,2010
2010-03-07,2010-03-13,NORDESTE,GLP,301,35.57,25.6,40.0,2010,2010
2010-03-07,2010-03-13,NORDESTE,GLP,246,37.55,33.0,42.0,2010,2010
2010-03-07,2010-03-13,NORDESTE,GLP,101,39.14,34.0,44.0,2010,2010
2010-03-07,2010-03-13,NORDESTE,GLP,103,34.59,30.0,38.5,2010,2010
2010-03-07,2010-03-13,NORDESTE,GLP,257,37.27,30.0,40.0,2010,2010
2010-03-07,2010-03-13,NORDESTE,GLP,64,37.59,36.0,40.0,2010,2010
2010-03-07,2010-03-13,NORDESTE,GLP,55,37.96,35.0,40.0,2010,2010
2010-03-07,2010-03-13,NORDESTE,GLP,34,35.31,33.0,39.0,2010,2010
2010-03-14,2010-03-20,NORDESTE,GLP,33,36.54,35.0,38.0,2010,2010
2010-03-14,2010-03-20,NORDESTE,GLP,299,35.56,24.5,40.0,2010,2010
2010-03-14,2010-03-20,NORDESTE,GLP,248,37.34,33.0,40.0,2010,2010
2010-03-14,2010-03-20,NORDESTE,GLP,100,39.26,34.0,45.5,2010,2010
