Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2018-04-22,2018-04-28,NORTE,GLP,57,76.57,65.0,91.0,2018,2018
2018-04-22,2018-04-28,NORTE,GLP,24,80.17,78.0,82.0,2018,2018
2018-04-22,2018-04-28,NORTE,GLP,87,85.1,80.0,95.0,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,20,4.1,3.9,4.49,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,1,3.79,3.79,3.79,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,41,3.63,3.45,3.99,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,45,3.7,3.3,4.59,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,32,3.78,3.42,4.25,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,4,3.74,3.69,3.79,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,35,3.69,3.5,3.9,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,37,4.32,4.02,4.48,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,23,4.04,3.9,4.25,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,43,3.59,3.29,3.9,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,68,3.7,3.3,4.27,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,62,3.69,3.35,3.89,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,10,3.59,3.54,3.63,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,31,3.47,3.18,4.66,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,38,4.31,4.09,4.5,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,15,4.51,4.39,4.69,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,42,3.69,3.55,4.18,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,108,3.7,3.24,4.22,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,64,3.77,3.45,3.96,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,13,3.69,3.59,3.79,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,42,3.51,3.27,4.97,2018,2018
2018-04-29,2018-05-05,NORTE,GASOLINA COMUM,39,4.88,4.8,5.11,2018,2018
2018-04-29,2018-05-05,NORTE,GASOLINA COMUM,29,4.13,3.89,4.35,2018,2018
2018-04-29,2018-05-05,NORTE,GASOLINA COMUM,70,4.5,4.24,5.05,2018,2018
2018-04-29,2018-05-05,NORTE,GASOLINA COMUM,115,4.34,3.9,4.9,2018,2018
2018-04-29,2018-05-05,NORTE,GASOLINA COMUM,72,4.31,4.0,4.81,2018,2018
2018-04-29,2018-05-05,NORTE,GASOLINA COMUM,12,4.27,4.25,4.3,2018,2018
2018-04-29,2018-05-05,NORTE,GASOLINA COMUM,45,4.46,3.95,4.7,2018,2018
2018-04-29,2018-05-05,NORTE,GLP,27,78.25,72.0,82.0,2018,2018
2018-04-29,2018-05-05,NORTE,GLP,15,74.89,65.0,79.0,2018,2018
2018-04-29,2018-05-05,NORTE,GLP,55,71.31,65.0,89.0,2018,2018
2018-04-29,2018-05-05,NORTE,GLP,157,71.65,60.0,98.0,2018,2018
2018-04-29,2018-05-05,NORTE,GLP,57,76.53,65.0,91.0,2018,2018
2018-04-29,2018-05-05,NORTE,GLP,24,80.0,78.0,82.0,2018,2018
2018-04-29,2018-05-05,NORTE,GLP,87,85.09,80.0,95.0,2018,2018
2018-04-29,2018-05-05,NORTE,GNV,2,3.19,3.19,3.19,2018,2018
2018-05-06,2018-05-12,NORTE,ETANOL HIDRATADO,20,4.06,3.9,4.2,2018,2018
2018-05-06,2018-05-12,NORTE,ETANOL HIDRATADO,1,3.79,3.79,3.79,2018,2018
2018-05-06,2018-05-12,NORTE,ETANOL HIDRATADO,38,3.61,3.49,4.1,2018,2018
2018-05-06,2018-05-12,NORTE,ETANOL HIDRATADO,40,3.66,3.38,4.59,2018,2018
2018-05-06,2018-05-12,NORTE,ETANOL HIDRATADO,34,3.79,3.42,4.25,2018,2018
2018-05-06,2018-05-12,NORTE,ETANOL HIDRATADO,3,3.8,3.69,3.98,2018,2018
2018-05-06,2018-05-12,NORTE,ETANOL HIDRATADO,33,3.66,3.5,3.9,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL,37,4.33,4.02,4.48,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL,23,4.07,3.9,4.25,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL,48,3.58,3.29,4.05,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL,66,3.75,3.42,4.27,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL,64,3.74,3.28,3.95,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL,11,3.59,3.53,3.69,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL,32,3.51,3.2,3.95,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL S10,38,4.32,4.09,4.5,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL S10,15,4.56,4.45,4.69,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL S10,40,3.68,3.55,4.15,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL S10,107,3.75,3.3,4.42,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL S10,63,3.84,3.49,4.05,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL S10,13,3.68,3.59,3.79,2018,2018
2018-05-06,2018-05-12,NORTE,ÓLEO DIESEL S10,43,3.55,3.29,4.0,2018,2018
2018-05-06,2018-05-12,NORTE,GASOLINA COMUM,39,4.89,4.82,5.11,2018,2018
2018-05-06,2018-05-12,NORTE,GASOLINA COMUM,29,4.12,3.9,4.35,2018,2018
2018-05-06,2018-05-12,NORTE,GASOLINA COMUM,70,4.5,4.24,5.05,2018,2018
2018-05-06,2018-05-12,NORTE,GASOLINA COMUM,116,4.34,3.97,5.0,2018,2018
2018-05-06,2018-05-12,NORTE,GASOLINA COMUM,72,4.33,3.83,4.81,2018,2018
2018-05-06,2018-05-12,NORTE,GASOLINA COMUM,13,4.27,4.25,4.29,2018,2018
2018-05-06,2018-05-12,NORTE,GASOLINA COMUM,45,4.48,4.09,4.7,2018,2018
2018-05-06,2018-05-12,NORTE,GLP,27,77.66,73.0,85.0,2018,2018
2018-05-06,2018-05-12,NORTE,GLP,15,75.04,65.0,79.0,2018,2018
2018-05-06,2018-05-12,NORTE,GLP,55,70.0,63.0,85.0,2018,2018
2018-05-06,2018-05-12,NORTE,GLP,157,71.84,60.0,95.0,2018,2018
2018-05-06,2018-05-12,NORTE,GLP,57,76.59,65.0,91.0,2018,2018
2018-05-06,2018-05-12,NORTE,GLP,24,80.17,78.0,82.0,2018,2018
2018-05-06,2018-05-12,NORTE,GLP,87,84.23,80.0,93.0,2018,2018
2018-05-13,2018-05-19,NORTE,ETANOL HIDRATADO,20,4.07,3.7,4.32,2018,2018
2018-05-13,2018-05-19,NORTE,ETANOL HIDRATADO,2,3.79,3.79,3.79,2018,2018
2018-05-13,2018-05-19,NORTE,ETANOL HIDRATADO,37,3.63,3.49,4.1,2018,2018
2018-05-13,2018-05-19,NORTE,ETANOL HIDRATADO,39,3.7,3.3,4.59,2018,2018
2018-05-13,2018-05-19,NORTE,ETANOL HIDRATADO,32,3.82,3.59,4.25,2018,2018
2018-05-13,2018-05-19,NORTE,ETANOL HIDRATADO,3,3.79,3.74,3.85,2018,2018
2018-05-13,2018-05-19,NORTE,ETANOL HIDRATADO,33,3.65,3.4,3.8,2018,2018
2018-05-13,2018-05-19,NORTE,ÓLEO DIESEL,37,4.36,4.05,4.48,2018,2018
2018-05-13,2018-05-19,NORTE,ÓLEO DIESEL,25,4.15,3.9,4.37,2018,2018
2018-05-13,2018-05-19,NORTE,ÓLEO DIESEL,34,3.76,3.29,4.05,2018,2018
2018-05-13,2018-05-19,NORTE,ÓLEO DIESEL,66,3.74,3.42,4.4,2018,2018
