Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2014-03-09,2014-03-15,SUDESTE,GASOLINA COMUM,735,3.12,2.8,4.16,2014,2014
2014-03-09,2014-03-15,SUDESTE,GASOLINA COMUM,2369,2.88,2.55,3.2,2014,2014
2014-03-09,2014-03-15,SUDESTE,GLP,161,38.92,33.0,45.0,2014,2014
2014-03-09,2014-03-15,SUDESTE,GLP,1011,45.91,28.0,56.0,2014,2014
2014-03-09,2014-03-15,SUDESTE,GLP,289,41.37,29.99,51.0,2014,2014
2014-03-09,2014-03-15,SUDESTE,GLP,1984,42.15,29.99,55.0,2014,2014
2014-03-09,2014-03-15,SUDESTE,GNV,11,1.91,1.79,2.47,2014,2014
2014-03-09,2014-03-15,SUDESTE,GNV,23,1.91,1.75,2.18,2014,2014
2014-03-09,2014-03-15,SUDESTE,GNV,195,1.68,1.42,2.26,2014,2014
2014-03-09,2014-03-15,SUDESTE,GNV,83,1.71,1.59,2.9,2014,2014
2014-03-16,2014-03-22,SUDESTE,ETANOL HIDRATADO,149,2.56,2.25,2.94,2014,2014
2014-03-16,2014-03-22,SUDESTE,ETANOL HIDRATADO,958,2.28,1.95,2.8,2014,2014
2014-03-16,2014-03-22,SUDESTE,ETANOL HIDRATADO,711,2.49,2.0,2.9,2014,2014
2014-03-16,2014-03-22,SUDESTE,ETANOL HIDRATADO,2376,2.07,1.78,2.5,2014,2014
2014-03-16,2014-03-22,SUDESTE,ÓLEO DIESEL,156,2.48,2.29,2.68,2014,2014
2014-03-16,2014-03-22,SUDESTE,ÓLEO DIESEL,763,2.52,2.29,2.8,2014,2014
2014-03-16,2014-03-22,SUDESTE,ÓLEO DIESEL,514,2.45,2.19,2.9,2014,2014
2014-03-16,2014-03-22,SUDESTE,ÓLEO DIESEL,1495,2.44,2.2,2.75,2014,2014
2014-03-16,2014-03-22,SUDESTE,ÓLEO DIESEL S10,72,2.62,2.49,2.9,2014,2014
2014-03-16,2014-03-22,SUDESTE,ÓLEO DIESEL S10,354,2.67,2.49,2.95,2014,2014
