Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2004-05-09,2004-05-15,CENTRO OESTE,ETANOL HIDRATADO,127,1.29,1.19,1.35,2004,2004
2004-05-09,2004-05-15,CENTRO OESTE,ETANOL HIDRATADO,387,1.16,0.89,1.45,2004,2004
2004-05-09,2004-05-15,CENTRO OESTE,ETANOL HIDRATADO,192,1.39,1.18,1.76,2004,2004
2004-05-09,2004-05-15,CENTRO OESTE,ETANOL HIDRATADO,162,1.26,1.09,1.51,2004,2004
2004-05-16,2004-05-22,CENTRO OESTE,ETANOL HIDRATADO,144,1.27,1.06,1.3,2004,2004
2004-05-16,2004-05-22,CENTRO OESTE,ETANOL HIDRATADO,378,1.16,0.89,1.45,2004,2004
2004-05-16,2004-05-22,CENTRO OESTE,ETANOL HIDRATADO,198,1.39,1.18,1.76,2004,2004
2004-05-16,2004-05-22,CENTRO OESTE,ETANOL HIDRATADO,174,1.26,0.96,1.52,2004,2004
2004-05-23,2004-05-29,CENTRO OESTE,ETANOL HIDRATADO,129,1.28,1.17,1.33,2004,2004
2004-05-23,2004-05-29,CENTRO OESTE,ETANOL HIDRATADO,389,1.16,0.87,1.44,2004,2004
2004-05-23,2004-05-29,CENTRO OESTE,ETANOL HIDRATADO,197,1.39,1.18,1.68,2004,2004
2004-05-23,2004-05-29,CENTRO OESTE,ETANOL HIDRATADO,162,1.26,1.05,1.41,2004,2004
2004-05-30,2004-06-05,CENTRO OESTE,ETANOL HIDRATADO,144,1.37,1.18,1.45,2004,2004
2004-05-30,2004-06-05,CENTRO OESTE,ETANOL HIDRATADO,380,1.19,0.92,1.52,2004,2004
2004-05-30,2004-06-05,CENTRO OESTE,ETANOL HIDRATADO,196,1.39,1.18,1.75,2004,2004
2004-05-30,2004-06-05,CENTRO OESTE,ETANOL HIDRATADO,177,1.3,1.09,1.41,2004,2004
2004-06-06,2004-06-12,CENTRO OESTE,ETANOL HIDRATADO,129,1.37,1.09,1.47,2004,2004
2004-06-06,2004-06-12,CENTRO OESTE,ETANOL HIDRATADO,389,1.22,0.92,1.52,2004,2004
2004-06-06,2004-06-12,CENTRO OESTE,ETANOL HIDRATADO,197,1.41,1.12,1.71,2004,2004
2004-06-06,2004-06-12,CENTRO OESTE,ETANOL HIDRATADO,164,1.33,1.1,1.5,2004,2004
2004-06-13,2004-06-19,CENTRO OESTE,ETANOL HIDRATADO,144,1.36,1.09,1.41,2004,2004
2004-06-13,2004-06-19,CENTRO OESTE,ETANOL HIDRATADO,382,1.21,0.92,1.52,2004,2004
2004-06-13,2004-06-19,CENTRO OESTE,ETANOL HIDRATADO,195,1.44,1.19,1.77,2004,2004
2004-06-13,2004-06-19,CENTRO OESTE,ETANOL HIDRATADO,178,1.34,1.1,1.5,2004,2004
2004-06-20,2004-06-26,CENTRO OESTE,ETANOL HIDRATADO,130,1.44,1.36,1.45,2004,2004
2004-06-20,2004-06-26,CENTRO OESTE,ETANOL HIDRATADO,388,1.23,0.91,1.52,2004,2004
2004-06-20,2004-06-26,CENTRO OESTE,ETANOL HIDRATADO,198,1.46,1.19,1.71,2004,2004
2004-06-20,2004-06-26,CENTRO OESTE,ETANOL HIDRATADO,163,1.36,1.17,1.5,2004,2004
2004-06-27,2004-07-03,CENTRO OESTE,ETANOL HIDRATADO,145,1.43,1.24,1.46,2004,2004
2004-06-27,2004-07-03,CENTRO OESTE,ETANOL HIDRATADO,382,1.21,0.91,1.52,2004,2004
2004-06-27,2004-07-03,CENTRO OESTE,ETANOL HIDRATADO,195,1.46,1.23,1.71,2004,2004
2004-06-27,2004-07-03,CENTRO OESTE,ETANOL HIDRATADO,177,1.37,1.17,1.5,2004,2004
2004-07-04,2004-07-10,CENTRO OESTE,ETANOL HIDRATADO,130,1.41,1.05,1.45,2004,2004
2004-07-04,2004-07-10,CENTRO OESTE,ETANOL HIDRATADO,391,1.21,0.91,1.52,2004,2004
2004-07-04,2004-07-10,CENTRO OESTE,ETANOL HIDRATADO,194,1.47,1.23,1.86,2004,2004
2004-07-04,2004-07-10,CENTRO OESTE,ETANOL HIDRATADO,163,1.37,1.17,1.5,2004,2004
2004-07-11,2004-07-17,CENTRO OESTE,ETANOL HIDRATADO,144,1.29,0.99,1.45,2004,2004
2004-07-11,2004-07-17,CENTRO OESTE,ETANOL HIDRATADO,383,1.19,0.9,1.52,2004,2004
2004-07-11,2004-07-17,CENTRO OESTE,ETANOL HIDRATADO,197,1.46,1.24,1.71,2004,2004
2004-07-11,2004-07-17,CENTRO OESTE,ETANOL HIDRATADO,177,1.38,1.17,1.5,2004,2004
2004-07-18,2004-07-24,CENTRO OESTE,ETANOL HIDRATADO,130,1.22,0.97,1.48,2004,2004
2004-07-18,2004-07-24,CENTRO OESTE,ETANOL HIDRATADO,389,1.22,0.96,1.52,2004,2004
2004-07-18,2004-07-24,CENTRO OESTE,ETANOL HIDRATADO,199,1.46,1.23,1.76,2004,2004
2004-07-18,2004-07-24,CENTRO OESTE,ETANOL HIDRATADO,163,1.38,1.17,1.5,2004,2004
2004-07-25,2004-07-31,CENTRO OESTE,ETANOL HIDRATADO,143,1.45,1.15,1.49,2004,2004
2004-07-25,2004-07-31,CENTRO OESTE,ETANOL HIDRATADO,382,1.27,1.04,1.52,2004,2004
2004-07-25,2004-07-31,CENTRO OESTE,ETANOL HIDRATADO,197,1.46,1.23,1.74,2004,2004
