Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2018-04-22,2018-04-28,NORDESTE,GLP,38,62.21,60.0,70.0,2018,2018
2018-04-22,2018-04-28,SUL,GLP,375,67.49,52.0,86.0,2018,2018
2018-04-22,2018-04-28,NORTE,GLP,57,76.57,65.0,91.0,2018,2018
2018-04-22,2018-04-28,NORTE,GLP,24,80.17,78.0,82.0,2018,2018
2018-04-22,2018-04-28,SUL,GLP,100,69.32,60.0,85.0,2018,2018
2018-04-22,2018-04-28,SUDESTE,GLP,1014,65.91,48.0,89.9,2018,2018
2018-04-22,2018-04-28,NORDESTE,GLP,26,75.36,65.0,85.0,2018,2018
2018-04-22,2018-04-28,NORTE,GLP,87,85.1,80.0,95.0,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,5,2.73,2.73,2.73,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,16,2.47,2.37,2.69,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,15,3.15,2.99,3.19,2018,2018
2018-04-22,2018-04-28,SUDESTE,GNV,6,2.59,2.59,2.99,2018,2018
2018-04-22,2018-04-28,CENTRO OESTE,GNV,1,2.7,2.7,2.7,2018,2018
2018-04-22,2018-04-28,CENTRO OESTE,GNV,3,2.79,2.76,2.8,2018,2018
2018-04-22,2018-04-28,SUDESTE,GNV,7,2.76,2.68,3.1,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,8,2.96,2.95,3.05,2018,2018
2018-04-22,2018-04-28,SUL,GNV,6,2.64,2.6,3.05,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,10,2.48,2.47,3.18,2018,2018
2018-04-22,2018-04-28,SUDESTE,GNV,107,2.48,2.15,3.4,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,12,3.0,2.89,3.13,2018,2018
2018-04-22,2018-04-28,SUL,GNV,23,2.82,2.45,3.31,2018,2018
2018-04-22,2018-04-28,SUL,GNV,24,2.1,1.89,2.29,2018,2018
2018-04-22,2018-04-28,SUDESTE,GNV,54,2.26,2.0,2.78,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,4,2.89,2.89,2.9,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,20,4.1,3.9,4.49,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,50,3.53,3.19,3.97,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,1,3.79,3.79,3.79,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,41,3.63,3.45,3.99,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,321,3.35,2.86,4.3,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,202,3.59,3.4,3.85,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ETANOL HIDRATADO,37,3.51,3.22,3.8,2018,2018
2018-04-29,2018-05-05,SUDESTE,ETANOL HIDRATADO,62,3.63,3.29,4.08,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ETANOL HIDRATADO,231,2.78,2.39,3.39,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,38,3.52,3.2,3.89,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ETANOL HIDRATADO,158,2.91,2.5,3.7,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ETANOL HIDRATADO,85,3.52,3.26,3.8,2018,2018
2018-04-29,2018-05-05,SUDESTE,ETANOL HIDRATADO,581,3.08,2.59,3.85,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,45,3.7,3.3,4.59,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,60,3.13,2.97,3.56,2018,2018
2018-04-29,2018-05-05,SUL,ETANOL HIDRATADO,370,2.92,2.49,3.39,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,158,3.21,2.95,3.7,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,47,3.44,3.38,3.85,2018,2018
2018-04-29,2018-05-05,SUDESTE,ETANOL HIDRATADO,399,3.65,3.06,4.1,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,61,3.51,3.3,3.7,2018,2018
2018-04-29,2018-05-05,SUL,ETANOL HIDRATADO,172,4.07,3.6,4.8,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,32,3.78,3.42,4.25,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,4,3.74,3.69,3.79,2018,2018
2018-04-29,2018-05-05,SUL,ETANOL HIDRATADO,157,3.52,3.0,4.13,2018,2018
2018-04-29,2018-05-05,SUDESTE,ETANOL HIDRATADO,1664,2.66,2.1,3.7,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,29,3.58,3.2,3.75,2018,2018
2018-04-29,2018-05-05,NORTE,ETANOL HIDRATADO,35,3.69,3.5,3.9,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,37,4.32,4.02,4.48,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,35,3.58,3.39,3.85,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,23,4.04,3.9,4.25,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,43,3.59,3.29,3.9,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,220,3.49,3.21,4.3,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,64,3.65,3.55,3.84,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ÓLEO DIESEL,20,3.67,3.45,3.9,2018,2018
2018-04-29,2018-05-05,SUDESTE,ÓLEO DIESEL,67,3.4,3.19,3.69,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ÓLEO DIESEL,168,3.58,3.29,4.1,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,54,3.36,3.2,3.7,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ÓLEO DIESEL,90,3.76,3.4,4.24,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ÓLEO DIESEL,57,3.73,3.59,4.08,2018,2018
2018-04-29,2018-05-05,SUDESTE,ÓLEO DIESEL,389,3.58,3.24,4.07,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,68,3.7,3.3,4.27,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,35,3.38,3.15,3.73,2018,2018
2018-04-29,2018-05-05,SUL,ÓLEO DIESEL,217,3.29,2.99,3.69,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,28,3.49,3.19,3.69,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,39,3.56,3.38,3.75,2018,2018
2018-04-29,2018-05-05,SUDESTE,ÓLEO DIESEL,218,3.64,3.36,4.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,46,3.6,3.46,3.7,2018,2018
2018-04-29,2018-05-05,SUL,ÓLEO DIESEL,232,3.41,3.05,3.8,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,62,3.69,3.35,3.89,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,10,3.59,3.54,3.63,2018,2018
2018-04-29,2018-05-05,SUL,ÓLEO DIESEL,110,3.34,3.06,4.7,2018,2018
2018-04-29,2018-05-05,SUDESTE,ÓLEO DIESEL,861,3.41,3.05,4.27,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,21,3.5,3.29,3.7,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL,31,3.47,3.18,4.66,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,38,4.31,4.09,4.5,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,44,3.62,3.3,3.89,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,15,4.51,4.39,4.69,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,42,3.69,3.55,4.18,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,248,3.57,3.29,4.42,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,208,3.67,3.5,3.9,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ÓLEO DIESEL S10,37,3.76,3.52,4.0,2018,2018
2018-04-29,2018-05-05,SUDESTE,ÓLEO DIESEL S10,79,3.51,3.28,3.89,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ÓLEO DIESEL S10,140,3.67,3.37,4.19,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,108,3.48,3.2,3.8,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ÓLEO DIESEL S10,120,3.84,3.46,4.34,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,ÓLEO DIESEL S10,77,3.92,3.7,4.2,2018,2018
2018-04-29,2018-05-05,SUDESTE,ÓLEO DIESEL S10,416,3.69,3.25,4.15,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,108,3.7,3.24,4.22,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,55,3.47,3.29,3.8,2018,2018
2018-04-29,2018-05-05,SUL,ÓLEO DIESEL S10,287,3.39,3.05,3.77,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,169,3.43,3.15,3.79,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,65,3.69,3.48,3.85,2018,2018
2018-04-29,2018-05-05,SUDESTE,ÓLEO DIESEL S10,305,3.78,3.46,4.1,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,51,3.72,3.58,3.86,2018,2018
2018-04-29,2018-05-05,SUL,ÓLEO DIESEL S10,288,3.52,3.15,3.9,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,64,3.77,3.45,3.96,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,13,3.69,3.59,3.79,2018,2018
2018-04-29,2018-05-05,SUL,ÓLEO DIESEL S10,207,3.43,3.09,4.81,2018,2018
2018-04-29,2018-05-05,SUDESTE,ÓLEO DIESEL S10,1235,3.53,3.15,4.28,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,40,3.68,3.3,3.9,2018,2018
2018-04-29,2018-05-05,NORTE,ÓLEO DIESEL S10,42,3.51,3.27,4.97,2018,2018
2018-04-29,2018-05-05,NORTE,GASOLINA COMUM,39,4.88,4.8,5.11,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,57,4.26,3.95,4.6,2018,2018
2018-04-29,2018-05-05,NORTE,GASOLINA COMUM,29,4.13,3.89,4.35,2018,2018
2018-04-29,2018-05-05,NORTE,GASOLINA COMUM,70,4.5,4.24,5.05,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,339,4.25,3.83,5.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,217,4.4,4.24,4.76,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,GASOLINA COMUM,47,4.23,3.95,4.4,2018,2018
2018-04-29,2018-05-05,SUDESTE,GASOLINA COMUM,116,4.17,3.98,4.59,2018,2018
2018-04-29,2018-05-05,CENTRO OESTE,GASOLINA COMUM,230,4.37,4.09,4.91,2018,2018
